year,title,core_rank,citations_scopus,citations_scholar
1996,Bandwidth Reservation Protocol For Speech/Data Integration In Tdma-Based Advanced Mobile Systems,,12,26.0
1998,Stability And Performance Analysis Of Hiperlan,,35,71.0
2001,Performance Evaluation Of Hiperlan Type With Voice And Web Data Traffic,A,3,12.0
2002,Aliquem: A Novel Drr Implementation To Achieve Better Latency And Fairness At O(1) Complexity,B,39,58.0
2005,A Scheduling Algorithm For Providing Real-Time Guarantees In 802.11E Wlans,C,4,4.0
2005,Exploiting Network Calculus For Delay-Based Admission Control In A Sink-Tree Network,,4,5.0
2005,Wttp: A Scheduling Algorithm For Supporting Qos In Ieee 802.11E,,0,1.0
2006,Bandwidth And Latency Analysis Of Modified Deficit Round Robin Scheduling Algorithms,A,6,15.0
2006,A Novel Approach To Scalable Cac For Real-Time Traffic In Sink-Tree Networks With Aggregate Scheduling,A,14,16.0
2006,An Integrated Framework For Enabling Effective Data Collection And Statistical Analysis With Ns-2,A,46,69.0
2006,Efficient Provisioning Of Real-Time Qos Guarantees In Ieee 802.11E Wlans,,1,7.0
2007,A Downlink Data Region Allocation Algorithm For Ieee 802.16E Ofdma,B,47,76.0
2007,End-To-End Bandwidth Reservation In Ieee 802.16 Mesh Networks,B,13,23.0
2007,End-To-End Delay Bounds In Fifo-Multiplexing Tandems,C,10,27.0
2007,Performance Evaluation Of The Mesh Election Procedure Of Ieee 802.16/Wimax,,18,31.0
2008,Estimating The Worst-Case Delay In Fifo Tandems Using Network Calculus,A,23,36.0
2008,Interference-Aware Distributed Scheduling In Tdma Wireless Mesh Networks,B,4,5.0
2008,Performance Evaluation Of Power Management For Best Effort Applications In Ieee 802.16 Networks,,7,14.0
2008,Scheduling And Dynamic Relocation For Ieee 802.11S Mesh Deterministic Access,,36,58.0
2008,Euqos: End-To-End Qos Over Heterogeneous Networks,,11,26.0
2009,A 2Κ ·· R Factorial Analysis Tool For Ns2Measure,A,2,8.0
2009,Pamela: A Joint Channel Assignment And Routing Algorithm For Multi-Radio Multi-Channel Wireless Mesh Networks With Grid Topology,B,9,18.0
2009,Interdomain Path Computation For Pce-Assisted Traffic Engineering,C,2,3.0
2010,Design And Performance Evaluation Of An Energy-Aware Scheduling Framework For Mobile Wimax,A,1,1.0
2010,A Distributed Delay-Balancing Slot Allocation Algorithm For 802.11S Mesh Coordinated Channel Access Under Dynamic Traffic Conditions,B,9,12.0
2010,A Reactive Scheduling Approach To Combat Remote Interference In Tdma-Based Wireless Mesh Networks,,2,2.0
2010,Power-Aware Opportunistic Downlink Scheduling In Ieee 802.16 Wireless Networks,,0,2.0
2010,Efficient Two-Dimensional Data Allocation In Ieee 802.16 Ofdma,,16,48.0
2011,Message From The Meshtech Workshop Chairs,B,0,0.0
2011,Welcome Message From The General Chairs,B,0,0.0
2011,Investigation Of Scalable Video Delivery Using H.264 Svc On An Lte Network,,22,74.0
2012,Message From The Workshop Chairs,B,0,0.0
2013,Welcome Message From The Wowmom 2013 Program Chairs,B,0,0.0
2013,An Open Framework For Accessing Things As A Service,C,13,30.0
2013,A Handoff Algorithm Based On Link Quality Prediction For Mass Transit Wireless Mesh Networks,C,4,5.0
2013,A Distributed Architecture For Discovery And Access In The Internet Of Things,,8,13.0
2013,Trickle-F: Fair Broadcast Suppression To Improve Energy-Efficient Route Formation With The Rpl Routing Protocol,,58,76.0
2014,Trickle-L2: Lightweight Link Quality Estimation Through Trickle In Rpl Networks,B,29,40.0
2014,A Framework For Qos Negotiation In Things-As-A-Service Oriented Architectures,,9,17.0
2015,Coap Proxy Virtualization For The Web Of Things,C,13,26.0
2015,Energy-Efficient Qos-Aware Service Allocation For The Cloud Of Things,C,15,25.0
2015,Message From The Conference Chairs,,0,0.0
2015,Coapthon: Easy Development Of Coap-Based Iot Applications With Python,,76,106.0
2015,Exploiting Lte D2D Communications In M2M Fog Platforms: Deployment And Practical Issues,,20,27.0
2016,Workshop Message: Iot-Sos 2016,B,0,0.0
2016,Semantic-Based Context Modeling For Quality Of Service Support In Iot Platforms,B,14,24.0
2016,Interplay Of Link Quality Estimation And Rpl Performance: An Experimental Study,,15,21.0
2016,An Alljoyn To Coap Bridge,,2,4.0
2016,Efficient Proxying Of Coap Observe With Quality Of Service Support,,15,21.0
2017,A Fog-Based Distributed Look-Up Service For Intelligent Transportation Systems,B,8,14.0
2017,Fog Computing For The Internet Of Mobile Things: Issues And Challenges,C,94,130.0
2018,Design And Evaluation Of A Rate-Based Congestion Control Mechanism In Coap For Iot Applications,B,23,28.0
2018,Virtualization And Migration At The Network Edge: An Overview,C,20,25.0
2018,Companion Fog Computing: Supporting Things Mobility Through Container Migration At The Edge,C,28,44.0
2018,Ecoap: Experimental Assessment Of Congestion Control Strategies For Coap Using The Wishful Platform,C,7,7.0
2019,Implementation Of Software-Defined 6Lowpans In Contiki Os,B,6,11.0
2019,Enabling Multi-Hop Forwarding In 6Lowpans Through Software-Defined Networking,B,4,6.0
2020,The Impact Of Container Migration On Fog Services As Perceived By Mobile Things,C,26,29.0
2020,Enhanced Support Of Lwm2M In Low Power And Lossy Networks,C,6,7.0
2020,Migration Of Multi-Container Services In The Fog To Support Things Mobility,C,8,8.0
2020,Dynamic Network Slicing In Fog Computing For Mobile Users In Mobfogsim,,13,24.0
2020,Throughput Analysis Of Best Effort Traffic In Ieee 802.16/Wimax,,0,4.0
2021,Extending The Quic Protocol To Support Live Container Migration At The Edge,B,10,22.0
2021,A Preliminary Evaluation Of Quic For Mobile Serverless Edge Applications,B,2,6.0
2021,Message From The Steering Committee Chair And Tpc Co-Chairs,B,0,0.0
2021,A Model-Driven Approach To Aol-Based Cache Management In Iot,B,5,6.0
2021,Joint Device Association And Resource Allocation For Time-Critical Iot Applications In Mec-Empowered 5G Networks,C,3,5.0
2022,Enabling Application Relocation In Etsi Mec: A Container-Migration Approach,B,2,4.0
2022,Extending Etsi Mec Towards Stateful Application Relocation Based On Container Migration,B,14,17.0
2022,Integrating Mobile Iot Devices Into The Arrowhead Framework Using Web Of Things,B,1,1.0
2022,Stateless Or Stateful Faas? I'Ll Take Both!,C,4,6.0
2022,Joint Power Control And Structural Health Monitoring In Industry 4.0 Scenarios Using Eclipse Arrowhead And Web Of Things,,2,3.0
2023,A Configurable Protocol For Quantum Entanglement Distribution To End Nodes,B,1,1.0
2023,Message From The Technical Program Chairs: Metacom 2023,B,0,0.0
2023,Ensuring Lossless Workload Migration At The Edge With Srv6,,3,3.0
2024,Message From The Program Co-Chairs,B,0,0.0
2024,Live Migration Of Multi-Container Kubernetes Pods In Multi-Cluster Serverless Edge Systems,,3,9.0
2024,Desqribe: Design And Synthesize Quantum Network Interoperable Protocols For Entanglement Distribution,,0,0.0
2024,Starless'24: 3Rd Workshop On Serverless Computing For Pervasive Cloud-Edge-Device Systems And Services - Welcome And Committees,,0,0.0
2025,A Computing-Aware Framework For Dynamic Traffic Steering In The Edge-Cloud Computing Continuum,B,1,1.0
