year,title,citations_scopus,citations_scholar
2003,An M/G/1 Queuing System With Multiple Vacations To Assess The Performance Of A Simplified Deficit Round Robin Model,0,0.0
2003,Delay Bounds For Fifo Aggregates: A Case Study,6,52.0
2004,A Methodology For Deriving Per-Flow End-To-End Delay Bounds In Sink-Tree Diffserv Domains With Fifo Multiplexing,8,11.0
2008,The Euqos System,0,2.0
2008,Traffic Engineering,3,3.0
2009,A Downlink Mac Frame Allocation Framework In Ieee 802.16E Ofdma: Design And Performance Evaluation,0,0.0
2010,Deborah: A Tool For Worst-Case Analysis Of Fifo Tandems,18,33.0
2010,Qoe-Oriented Performance Evaluation Of Video Streaming Over Wimax,11,17.0
2013,Enabling Technologies And Standards For Mobile Multihop Wireless Networking,4,6.0
2015,Betaas Platform-A Things As A Service Environment For Future M2M Marketplaces,3,4.0
2016,Mobile-Edge Computing Come Home Connecting Things In Future Smart Homes Using Lte Device-To-Device Communications.,77,91.0
2017,Highlighting Some Shortcomings Of The Cocoa+ Congestion Control Algorithm,12,17.0
2018,Ensuring Quality Of Service In The Internet Of Things,27,44.0
2022,Stateful Function As A Service At The Edge,10,15.0
2025,Adapto: Scaling And Offloading Cloud-Native Network Functions In Future Mobile Networks,0,0.0
