title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,sjr_score,sjr_score,sjr_score,type,source
"Report On The 15Th Conference And Labs Of The Evaluation Forum (Clef 2024): Experimental Ir Meets Multilinguality, Multimodality, And Interaction",2025.0,0,0.0,"ACM SIGIR Forum 58 (2), 1-17, 2025",,N/A,N/A,,,,,,Scholar
Conversational Agents: A Framework For Evaluation (Cafe)(Dagstuhl Perspectives Workshop 24352),2025.0,0,3.0,"Dagstuhl Reports 14 (8), 53-58, 2025",,N/A,N/A,,,,,,Scholar
Conversational Agents: A Framework For Evaluation (Cafe): Manifesto From Dagstuhl Perspectives Workshop 24352,2025.0,0,0.0,"Dagstuhl Perspectives Workshop 24352: Dagstuhl Perspectives Workshop …, 2025",,N/A,N/A,,,,,,Scholar
Bioasq At Clef2025: The Thirteenth Edition Of The Large-Scale Biomedical Semantic Indexing And Question Answering Challenge,2025.0,9,12.0,Lecture Notes in Computer Science,10.1007/978-3-031-88720-8_61,N/A,-,Lecture Notes in Engineering and Computer Science,conference and proceedings,"0,118",lecture notes in engineering and computer science,Book Series,Scopus + Scholar
Measuring Actual Privacy Of Obfuscated Queries In Information Retrieval,2025.0,2,3.0,Lecture Notes in Computer Science,10.1007/978-3-031-88708-6_4,N/A,-,Lecture Notes in Engineering and Computer Science,conference and proceedings,"0,118",lecture notes in engineering and computer science,Book Series,Scopus + Scholar
Query Performance Prediction Using Dimension Importance Estimators,2025.0,0,0.0,Lecture Notes in Computer Science,10.1007/978-3-031-88711-6_13,N/A,-,Lecture Notes in Engineering and Computer Science,conference and proceedings,"0,118",lecture notes in engineering and computer science,Book Series,Scopus + Scholar
A Reproducibility Study For Joint Information Retrieval And Recommendation In Product Search,2025.0,2,2.0,Lecture Notes in Computer Science,10.1007/978-3-031-88717-8_10,N/A,-,Lecture Notes in Engineering and Computer Science,conference and proceedings,"0,118",lecture notes in engineering and computer science,Book Series,Scopus + Scholar
A Cost-Effective Framework To Evaluate Llm-Generated Relevance Judgements,2025.0,0,0.0,"Proceedings of the 34th ACM International Conference on Information and …, 2025",,C,-,"Proceedings - International Conference on Advanced Computer Information Technologies, ACIT",conference and proceedings,"0,187","proceedings international conference on advanced computer information technologies, acit",,Scholar
Dp-Comet: A Differential Privacy Contextual Obfuscation Mechanism For Texts In Natural Language Processing,2025.0,0,0.0,"Proceedings of the 34th ACM International Conference on Information and …, 2025",,C,-,"Proceedings - International Conference on Advanced Computer Information Technologies, ACIT",conference and proceedings,"0,187","proceedings international conference on advanced computer information technologies, acit",,Scholar
Qpp++ 2025: Query Performance Prediction And Its Applications In The Era Of Large Language Models,2025.0,4,5.0,Lecture Notes in Computer Science,10.1007/978-3-031-88720-8_49,N/A,-,Lecture Notes in Engineering and Computer Science,conference and proceedings,"0,118",lecture notes in engineering and computer science,Book Series,Scopus + Scholar
Projection-Displacement-Based Query Performance Prediction For Embedded Space Of Dense Retrievers,2025.0,0,0.0,"ACM Transactions on Information Systems 44 (1), 1-30, 2025",,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,,Scholar
Overview Of Bioasq 2025: The Thirteenth Bioasq Challenge On Large-Scale Biomedical Semantic Indexing And Question Answering,2025.0,0,40.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2025",,N/A,N/A,,,,,,Scholar
