year,title,core_rank,citations_scopus,citations_scholar
2013,Efficient Energy Dispatching In Smart Microgrids Using An Integration Of Fuzzy Ahp And Topsis Assisted By Linear Programming,,8,15
2014,Classifying Workers Into Risk Sensibility Profiles: A Neural Network Approach,,9,11
2015,A Linear Programming-Driven Mcdm Approach For Multi-Objective Economic Dispatch In Smart Grids,C,10,18
2016,A Semi-Supervised Learning-Aided Evolutionary Approach To Occupational Safety Improvement,B,10,14
2016,Human Factors-Based Many-Objective Personnel Recruitment For Safety-Critical Work Environments,C,0,1
2016,Solving The Environmental Economic Dispatch Problem With Prohibited Operating Zones In Microgrids Using Nsga-Ii And Topsis,Multiconference,1,3
2018,A Neural System For Faithful Color Reproduction In Industrial Printing Processes,B,1,2
2020,A Neural Classifier To Evaluate The Role Of Image Resolution In The Perception Of Color Differences,B,1,1
2022,A Smartphone App To Collect Emotion-Labeled Signals In The Wild Using A Body Sensor Network,C,2,2
2022,Detecting Happiness From 14-Channel Binary-Valued Eeg Charts Via Deep Learning,C,2,2
2023,Speech-Based Detection Of In-Car Escalating Arguments To Prevent Distracted Driving,B,1,1
