year,title,scimago_quartile,citations_scopus,citations_scholar
2013,Profiling Risk Sensibility Through Association Rules,Q1,14,21
2018,Multiobjective Personnel Assignment Exploiting Workers' Sensitivity To Risk,Q1,18,23
2018,An Integrated Optimization System For Safe Job Assignment Based On Human Factors And Behavior,Q1,15,18
2018,Emoga: A Hybrid Genetic Algorithm With Extremal Optimization Core For Multiobjective Disassembly Line Balancing,Q1,118,131
2019,Tema: A Tensorial Memetic Algorithm For Many-Objective Parallel Disassembly Sequence Planning In Product Refurbishment,Q1,41,51
2020,Assessing The Risk Of Low Back Pain And Injury Via Inertial And Barometric Sensors,Q1,34,54
2021,End-Of-Life Product Disassembly With Priority-Based Extraction Of Dangerous Parts,Q1,11,14
2023,Guest Editorial: Ai For Efficiency And Sustainability In Assembly/Disassembly Industrial Processes,Q1,1,1
2023,Are You Sitting With Good Posture? Tracking The Position Of The Legs Via 2-D Lidar,Q2,4,6
2024,A Human-Centric System Combining Smartwatch And Lidar Data To Assess The Risk Of Musculoskeletal Disorders And Improve Ergonomics Of Industry 5.0 Manufacturing Workers,Q1,30,47
2024,A Lidar-Based Recommendation System To Improve Sitting Posture Respecting Privacy,Q1,2,3
2024,Elicitation Of Anxiety Without Time Pressure And Its Detection Using Physiological Signals And Artificial Intelligence: A Proof Of Concept,Q1,8,11
2025,Fast And Interpretable Prediction Of Seismic Kinematics Of Flexible Retaining Walls In Sand Through Explainable Artificial Intelligence,Q1,6,7
