year,title,core_rank,citations_scopus,citations_scholar
2004,A Novel Signaling Approach To Encompass Physical Impairments In Gmpls Networks,B,19,33
2004,A Novel Signaling Approach To Encompass Physical Impairments In Gmpls Networks,B,19,33
2004,Separate Wavelength Pools For Multiple-Class Optical Channel Provisioning,,8,12
2004,A Novel Ospf Extension Including Node Architectural Constraints For Gmpls Networks,,1,4
2005,Failure-Aware Idle Protection Capacity Reuse,B,4,6
2005,Failure-Aware Idle Protection Capacity Reuse,B,4,6
2005,Introducing Node Adaptation Capability Descriptor In Gmpls Multi-Region Networks,C,0,1
2005,Physical Impairment Aware Signalling For Dynamic Lightpath Set Up,C,5,28
2005,One-Bit All-Optical Memory,C,1,3
2005,Impact Of Idle Protection Capacity Reuse On Multi-Class Optical Networks,,2,3
2005,Impact Of Spare Capacity Reuse On Multi-Class Lightpath Survivability Differentiation,,2,2
2005,An Optical Memory Cell Based On Erbium-Doped Fiber,,3,4
2006,Gmpls Signaling Feedback For Encompassing Physical Impairments In Transparent Optical Networks,B,8,12
2006,Gmpls Signaling Feedback For Encompassing Physical Impairments In Transparent Optical Networks,B,8,12
2006,Increasing Restorability For Local-To-Egress Restoration In Gmpls Controlled Networks With Limited Wavelength Conversion,B,5,6
2006,Signaling Protocol Extensions For Converter-Saving Wavelength Assignment In Gmpls Optical Networks,C,6,12
2006,2×2 Photonic Node For All-Optical Packet Switching Networks,C,0,0
2006,Wavelength-Converter Saving Span Restoration In Gmpls Controlled Wdm Optical Networks,,5,5
2006,Research On Optical Core Networks In The E-Photon/One Network Of Excellence,,2,3
2006,Enhancing Link Bundling Performance In Gmpls Transparent Networks,,0,0
2006,Enhancing Link Bundling Performance In Gmpls Transparent Networks,,0,0
2007,Span Restoration In Optical Networks With Limited Wavelength Conversion,B,1,4
2007,Ultra-Fast All-Optical Interconnection Network Fully Based On Modular Integrable Photonic Digital Processing,,1,2
2007,Lightweight Rsvp-Te Extensions To Account For Shared Regenerators In Translucent Optical Networks,,11,14
2007,A Framework For Label Preference In Gmpls Controlled Optical Networks,,4,7
2007,Photonics In Switching In Noe E-Photon/One+,,0,1
2007,A Synchronous All-Optical 160 Gb/S Photonic Interconnection Network,,4,6
2007,Multiple Path Computation Element (Pce) Cooperation For Multi-Layer Traffic Engineering,,21,29
2007,All-Optical Ultra-Fast Packet Contention Detection Based On Soas For 2×2 Photonic Nodes,,1,1
2007,Gmpls Extensions To Encompass Shared Regenerators In Transparent Optical Networks,,10,17
2007,Multistage Interconnection Network Photonic Controller Exploiting A Cascaded Soa-Based Ultrafast Module,,7,9
2007,A Synchronous All-Optical 160 Gb/S Photonic Interconnection Network,,0,6
2007,Multiple Path Computation Element (Pce) Cooperation For Multi-Layer Traffic Engineering,,0,29
2007,A Synchronous All-Optical 160 Gb/S Photonic Interconnection Network,,0,6
2008,Wavelength Converter Placement In Optical Networks With Dynamic Traffic,,1,2
2008,Bidirectional Lightpath Provisioning In Gmpls-Controlled Optical Networks,,3,3
2008,Path Restoration Schemes In Gmpls-Controlled Translucent Networks,,3,7
2008,Introducing Crosstalk-Awareness Into Gmpls-Controlled Transparent Optical Networks,,7,8
2008,Reactive Re-Provisioning Heuristics For Mitigating The Impact Of Traffic Pattern Variations On Multi-Layer Optical Networks,,0,0
2009,Multiple Path Based Regenerator Placement Algorithm In Translucent Optical Networks,B,4,6
2009,Complexity Analysis And Performance Evaluation Of A Two-Step Scheduler For Modular Optical Packet Switches,C,1,2
2009,Pmd Monitoring Using Optical Sideband Filtering,,4,3
2009,Restoration In Gmpls-Based Wavelength Switched Optical Networks With Limited Wavelength Converters,,2,4
2009,Prioritizing Connection Requests In Gmpls-Controlled Optical Networks,,0,1
2009,All-Optical Cell Acknowledgment In Synchronous Optical Packet Switches,,0,0
2009,Virtual Network Topology Manager (Vntm) And Path Computation Element (Pce) Cooperation In Multi-Layer Gmpls Networks,,4,9
