year,title,scimago_quartile,citations_scopus,citations_scholar
2006,Challenges And Requirements For Introducing Impairment-Awareness Into The Management And Control Planes Of Ason/Gmpls Wdm Networks,Q1,124,162
2006,Label Preference Schemes In Gmpls Controlled Networks,Q1,24,40
2006,Impact Of Node Switching Capabilities On The Performance Of Wavelength Routed Networks,Q2,6,8
2007,Photonic Combinatorial Network For Contention Management In 160 Gb/S-Interconnection Networks Based On All-Optical 2 × 2 Switching Elements,Q1,35,40
2007,Idle Protection Capacity Reuse In Multiclass Optical Networks,Q1,9,10
2008,Enhancing Gmpls Signaling Protocol For Encompassing Quality Of Transmission (Qot) In All-Optical Networks,Q1,60,73
2008,"Photonics In Switching: Architectures, Systems And Enabling Technologies",Q1,21,29
2008,Restoration In All-Optical Gmpls Networks With Limited Wavelength Conversion,Q1,11,18
2008,Distributing Shared Regenerator Information In Gmpls-Controlled Translucent Networks,Q1,10,11
2008,Nodal Stub-Release In All-Optical Networks,Q1,5,10
2008,Multi-Class Lightpath Provisioning Based On Separate Wavelength Pools,Q3,0,0
2009,Accounting For Shared Regenerators In Gmpls-Controlled Translucent Optical Networks,Q1,20,27
2009,Gmpls-Controlled Dynamic Translucent Optical Networks,Q1,28,39
2009,Photonics In Switching: Enabling Technologies And Subsystem Design,Q1,21,44
2009,Label Preference Schemes For Lightpath Provisioning And Restoration In Distributed Gmpls Networks,Q1,39,49
2009,Gmpls-Based Packet Contention Resolution In Connection-Oriented Ops Networks,Q1,2,1
2009,All-Optical Packet-Switched Interconnection Network Based On Modular Photonic Digital Processing,Q2,4,6
2010,Accounting For Pmd Temporal Correlation During Lightpath Set Up In Transparent Optical Networks,Q1,1,2
2010,Path State-Based Update Of Pce Traffic Engineering Database In Wavelength Switched Optical Networks,Q1,38,42
2010,Two-Step Scheduling Framework For Space-Wavelength Modular Optical Interconnection Networks,Q2,19,21
2011,Energy-Efficient Design Of A Scalable Optical Multiplane Interconnection Architecture,Q1,70,89
