year,title,core_rank,citations_scopus,citations_scholar
2013,Integration Of Privacy Protection Mechanisms In Location-Based Services,B,2,6
2015,The Verifier Bee: A Path Planner For Drone-Based Secure Location Verification,,14,24
2016,Secure Positioning With Non-Ideal Distance Bounding Protocols,C,7,8
2016,Localization With Guaranteed Bound On The Position Error Using A Drone,,15,22
2017,A Low-Cost Uav-Based Secure Location Verification Method,A,2,3
2017,Sensing The Cities With Social-Aware Unmanned Aerial Vehicles,C,4,6
2018,Abe-Cities: An Attribute-Based Encryption System For Smart Cities,C,17,24
2018,Implementation Of A Wormhole Attack Against A Rpl Network: Challenges And Effects,,39,55
2019,Virtual Private Ledgers: Embedding Private Distributed Ledgers Over A Public Blockchain By Cryptography,A,3,6
2019,Bruschetta: An Iot Blockchain-Based Framework For Certifying Extra Virgin Olive Oil Supply Chain,C,83,126
2019,Fabelous: An Attribute-Based Scheme For Industrial Internet Of Things,C,17,21
2019,On The Feasibility Of Attribute-Based Encryption On Constrained Iot Devices For Smart Systems,C,26,42
2020,An Analysis Of Routing Attacks Against Iota Cryptocurrency,C,18,24
2021,Assessing The Cost Of Quantum Security For Automotive Over -The-Air Updates,C,13,21
2021,On Improving Simblock Blockchain Simulator,C,8,11
2022,Post-Quantum Attribute-Based Encryption: Performance Evaluation And Improvement For Embedded Systems,C,3,3
2022,Segwit Extension And Improvement Of The Blocksim Bitcoin Simulator,C,11,17
2022,A Rational Mining Strategy For Proof-Of-Work Consensus Algorithms,,0,3
2024,Bacon: Improving Broadcast Audio Authentication,B,0,0
2024,Hack In An Elevator! Pentesting A Lift Control Web App,C,0,0
2024,Connectivity And Energy Consumption Of Cyber-Physical Systems Under Wi-Fi Attack,,0,1
