title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Speech-Based Detection Of In-Car Escalating Arguments To Prevent Distracted Driving,2023.0,1.0,1,Proceedings 2023 IEEE International Conference on Big Data Bigdata 2023,10.1109/BigData59044.2023.10386288,B,N/A,"1,165",Conference Proceeding,cp,Scopus + Scholar
A Smartphone App To Collect Emotion-Labeled Signals In The Wild Using A Body Sensor Network,2022.0,2.0,2,Proceedings 2022 IEEE International Symposium on Multimedia Ism 2022,10.1109/ISM55400.2022.00034,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Detecting Happiness From 14-Channel Binary-Valued Eeg Charts Via Deep Learning,2022.0,2.0,2,Proceedings 2022 IEEE International Symposium on Multimedia Ism 2022,10.1109/ISM55400.2022.00015,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
A Neural Classifier To Evaluate The Role Of Image Resolution In The Perception Of Color Differences,2020.0,1.0,1,Proceedings of the International Joint Conference on Neural Networks,10.1109/IJCNN48605.2020.9207282,B,N/A,"0,349",Conference Proceeding,cp,Scopus + Scholar
A Neural System For Faithful Color Reproduction In Industrial Printing Processes,2018.0,1.0,2,Proceedings of the International Joint Conference on Neural Networks,10.1109/IJCNN.2018.8489306,B,N/A,"0,349",Conference Proceeding,cp,Scopus + Scholar
A Semi-Supervised Learning-Aided Evolutionary Approach To Occupational Safety Improvement,2016.0,10.0,14,2016 IEEE Congress on Evolutionary Computation CEC 2016,10.1109/CEC.2016.7744257,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Human Factors-Based Many-Objective Personnel Recruitment For Safety-Critical Work Environments,2016.0,0.0,0,IECON Proceedings Industrial Electronics Conference,10.1109/IECON.2016.7793134,C,N/A,"0,205",Conference Proceeding,cp,Scopus + Scholar
Solving The Environmental Economic Dispatch Problem With Prohibited Operating Zones In Microgrids Using Nsga-Ii And Topsis,2016.0,1.0,3,Proceedings of the ACM Symposium on Applied Computing,10.1145/2851613.2853130,Multiconference,N/A,"2,889",Conference Proceeding,cp,Scopus + Scholar
A Linear Programming-Driven Mcdm Approach For Multi-Objective Economic Dispatch In Smart Grids,2015.0,10.0,18,Intellisys 2015 Proceedings of 2015 Sai Intelligent Systems Conference,10.1109/IntelliSys.2015.7361183,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Classifying Workers Into Risk Sensibility Profiles: A Neural Network Approach,2014.0,9.0,11,Proceedings Uksim Amss 8th European Modelling Symposium on Computer Modelling and Simulation EMS 2014,10.1109/EMS.2014.24,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Efficient Energy Dispatching In Smart Microgrids Using An Integration Of Fuzzy Ahp And Topsis Assisted By Linear Programming,2013.0,8.0,15,8th Conference of the European Society for Fuzzy Logic and Technology Eusflat 2013 Advances in Intelligent Systems Research,10.2991/eusflat.2013.50,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
