title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Fast And Interpretable Prediction Of Seismic Kinematics Of Flexible Retaining Walls In Sand Through Explainable Artificial Intelligence,2025.0,6.0,7,Computers and Geotechnics,10.1016/j.compgeo.2024.107007,N/A,Q1,"1,878",Journal,ar,Scopus + Scholar
A Human-Centric System Combining Smartwatch And Lidar Data To Assess The Risk Of Musculoskeletal Disorders And Improve Ergonomics Of Industry 5.0 Manufacturing Workers,2024.0,30.0,51,Computers in Industry,10.1016/j.compind.2023.104042,N/A,Q1,"2,209",Journal,ar,Scopus + Scholar
A Lidar-Based Recommendation System To Improve Sitting Posture Respecting Privacy,2024.0,2.0,3,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2024.3404233,N/A,Q1,"1,649",Journal,ar,Scopus + Scholar
Elicitation Of Anxiety Without Time Pressure And Its Detection Using Physiological Signals And Artificial Intelligence: A Proof Of Concept,2024.0,8.0,12,IEEE Access,10.1109/ACCESS.2024.3362668,N/A,Q1,"0,849",Journal,ar,Scopus + Scholar
Guest Editorial: Ai For Efficiency And Sustainability In Assembly/Disassembly Industrial Processes,2023.0,1.0,1,IEEE Transactions on Industrial Informatics,10.1109/TII.2023.3255520,TBR,Q1,"3,416",Journal,ed,Scopus + Scholar
Are You Sitting With Good Posture? Tracking The Position Of The Legs Via 2-D Lidar,2023.0,4.0,6,IEEE Embedded Systems Letters,10.1109/LES.2022.3204200,N/A,Q2,"0,434",Journal,ar,Scopus + Scholar
End-Of-Life Product Disassembly With Priority-Based Extraction Of Dangerous Parts,2021.0,11.0,14,Journal of Intelligent Manufacturing,10.1007/s10845-020-01592-z,N/A,Q1,"1,763",Journal,ar,Scopus + Scholar
Assessing The Risk Of Low Back Pain And Injury Via Inertial And Barometric Sensors,2020.0,34.0,55,IEEE Transactions on Industrial Informatics,10.1109/TII.2020.2992984,TBR,Q1,"3,416",Journal,ar,Scopus + Scholar
Tema: A Tensorial Memetic Algorithm For Many-Objective Parallel Disassembly Sequence Planning In Product Refurbishment,2019.0,41.0,51,IEEE Transactions on Industrial Informatics,10.1109/TII.2019.2904631,TBR,Q1,"3,416",Journal,ar,Scopus + Scholar
Multiobjective Personnel Assignment Exploiting Workers' Sensitivity To Risk,2018.0,18.0,23,IEEE Transactions on Systems Man and Cybernetics Systems,10.1109/TSMC.2017.2665349,N/A,Q1,"3,254",Journal,ar,Scopus + Scholar
An Integrated Optimization System For Safe Job Assignment Based On Human Factors And Behavior,2018.0,15.0,20,IEEE Systems Journal,10.1109/JSYST.2016.2646843,N/A,Q1,"1,276",Journal,ar,Scopus + Scholar
Emoga: A Hybrid Genetic Algorithm With Extremal Optimization Core For Multiobjective Disassembly Line Balancing,2018.0,118.0,132,IEEE Transactions on Industrial Informatics,10.1109/TII.2017.2778223,TBR,Q1,"3,416",Journal,ar,Scopus + Scholar
Profiling Risk Sensibility Through Association Rules,2013.0,14.0,21,Expert Systems with Applications,10.1016/j.eswa.2012.08.055,N/A,Q1,"1,854",Journal,ar,Scopus + Scholar
