title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Designing An Efficient Cloud-To-Things Continuum For Real-Time Mobile Applications,2025.0,0.0,0.0,Proceedings 2025 IEEE International Conference on Smart Computing Smartcomp 2025,10.1109/SMARTCOMP65954.2025.00110,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Dynamic Resource Allocation In Cloud-To- Things Continuum For Real-Time Iot Applications,2025.0,0.0,2.0,Proceedings 2025 IEEE International Conference on Smart Computing Smartcomp 2025,10.1109/SMARTCOMP65954.2025.00107,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Energy-Efficient Function Invocation Scheduling For Edge Faas Platforms,2025.0,0.0,0.0,Proceedings 2025 IEEE International Conference on Smart Computing Smartcomp 2025,10.1109/SMARTCOMP65954.2025.00057,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Is Edge Computing Always Suitable For Image Analysis? An Experimental Analysis,2024.0,0.0,0.0,Proceedings 2024 IEEE 25th International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2024,10.1109/WoWMoM60985.2024.00019,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Cloud2Things 2024: 4 Workshop On From Cloud To Things: Harnessing Pervasive Data In The Computing Continuum - Welcome And Committees,2024.0,0.0,0.0,2024 IEEE International Conference on Pervasive Computing and Communications Workshops and Other Affiliated Events Percom Workshops 2024,10.1109/PerComWorkshops59983.2024.10502485,N/A,N/A,,Conference Proceeding,ed,Scopus
Energy-Efficient Orchestration Strategies For Function-As-A-Service Platforms,2024.0,4.0,4.0,2024 IEEE International Conference on Pervasive Computing and Communications Workshops and Other Affiliated Events Percom Workshops 2024,10.1109/PerComWorkshops59983.2024.10502855,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Using Multiple Devices For Patient Monitoring In Clinical Studies: The Tolife Experience,2024.0,4.0,7.0,2024 IEEE International Conference on Pervasive Computing and Communications Workshops and Other Affiliated Events Percom Workshops 2024,10.1109/PerComWorkshops59983.2024.10502767,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Smart Sensors For Daily-Life Data Collection Toward Precision And Personalized Medicine: The Tolife Project Approach,2024.0,4.0,7.0,Ifmbe Proceedings,10.1007/978-3-031-49062-0_82,N/A,N/A,"0,124",Conference Proceeding,cp,Scopus + Scholar
Preliminary Assessment Of The Samsung Galaxy Watch 5 Accuracy For The Monitoring Of Heart Rate And Heart Rate Variability Parameters,2024.0,3.0,5.0,Ifmbe Proceedings,10.1007/978-3-031-49062-0_3,N/A,N/A,"0,124",Conference Proceeding,cp,Scopus + Scholar
A Systematic Mapping Study Of Italian Research On Workflows,2023.0,1.0,2.0,ACM International Conference Proceeding Series,10.1145/3624062.3624285,A,N/A,"0,191",Conference Proceeding,cp,Scopus + Scholar
Energy-Efficient Resource Management For Real-Time Applications In Faas Edge Computing Platforms,2023.0,5.0,7.0,16th IEEE ACM International Conference on Utility and Cloud Computing Ucc 2023,10.1145/3603166.3632240,B,N/A,"0,378",Conference Proceeding,cp,Scopus + Scholar
Lasa: Location-Aware Scheduling Algorithm In Industrial Iot Networks With Mobile Nodes,2023.0,1.0,2.0,Proceedings 2023 IEEE 24th International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2023,10.1109/WoWMoM57956.2023.00033,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Mobility Management In Industrial Iot Environments,2022.0,9.0,11.0,Proceedings 2022 IEEE 23rd International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2022,10.1109/WoWMoM54355.2022.00046,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Assessing The Feasibility Of Exploiting Edge Computing For Real-Time Monitoring Of Flash Floods,2022.0,2.0,2.0,Proceedings 2022 IEEE International Conference on Smart Computing Smartcomp 2022,10.1109/SMARTCOMP55677.2022.00068,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Message From The Smartsys 2022 Workshop Co-Chairs,2022.0,0.0,0.0,Proceedings 2022 IEEE International Conference on Smart Computing Smartcomp 2022,10.1109/SMARTCOMP55677.2022.00012,C,N/A,,Conference Proceeding,ed,Scopus + Scholar
Mobile6Tisch: A Simulator For 6Tisch-Based Industrial Iot Networks With Mobile Nodes,2022.0,4.0,5.0,Proceedings 2022 18th International Conference on Mobility Sensing and Networking Msn 2022,10.1109/MSN57253.2022.00102,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Evaluation Of Feasibility And Impact Of Attacks Against The 6Top Protocol In 6Tisch Networks,2020.0,8.0,9.0,Proceedings 21st IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2020,10.1109/WoWMoM49955.2020.00027,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Failure Management Strategies For Iot-Based Railways Systems,2020.0,10.0,17.0,Proceedings 2020 IEEE International Conference on Smart Computing Smartcomp 2020,10.1109/SMARTCOMP50058.2020.00082,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
6Tisch Architecture For The Industrial Internet Of Things: Performance Analysis,2020.0,1.0,2.0,Proceedings 2020 IEEE International Conference on Smart Computing Smartcomp 2020,10.1109/SMARTCOMP50058.2020.00061,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Performance Measurements Of Ieee 802.15.4G Wireless Networks,2019.0,24.0,28.0,20th IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2019,10.1109/WoWMoM.2019.8793051,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Improving Link Quality Estimation Accuracy In 6Tisch Networks,2019.0,9.0,13.0,2019 6th International Conference on Internet of Things Systems Management and Security Iotsms 2019,10.1109/IOTSMS48152.2019.8939167,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
An Experimental Evaluation Of The 6Top Protocol For Industrial Iot Applications,2019.0,10.0,13.0,Proceedings IEEE Symposium on Computers and Communications,10.1109/ISCC47284.2019.8969590,C,N/A,"0,267",Conference Proceeding,cp,Scopus + Scholar
On The Feasibility Of Attribute-Based Encryption On Constrained Iot Devices For Smart Systems,2019.0,26.0,42.0,Proceedings 2019 IEEE International Conference on Smart Computing Smartcomp 2019,10.1109/SMARTCOMP.2019.00057,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Analysis And Improvement Of The On-The-Fly Bandwidth Reservation Algorithm For 6Tisch,2018.0,22.0,29.0,19th IEEE International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2018,10.1109/WoWMoM.2018.8449793,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Iot Applications In Smart Cities: A Perspective Into Social And Ethical Issues,2018.0,31.0,46.0,Proceedings 2018 IEEE International Conference on Smart Computing Smartcomp 2018,10.1109/SMARTCOMP.2018.00034,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Ecoap: Experimental Assessment Of Congestion Control Strategies For Coap Using The Wishful Platform,2018.0,7.0,7.0,Proceedings 2018 IEEE International Conference on Smart Computing Smartcomp 2018,10.1109/SMARTCOMP.2018.00040,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Performance Evaluation The 6Top Protocol And Analysis Of Its Interplay With Routing,2017.0,13.0,19.0,2017 IEEE International Conference on Smart Computing Smartcomp 2017,10.1109/SMARTCOMP.2017.7947029,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
