title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
The 6Tisch Architecture For The Industrial Internet Of Things: Analysis And Improvements,2021.0,0.0,0.0,"Università degli Studi di Pisa, 2021",,N/A,N/A,,,,Scholar
Performance Evaluation Of The 6Tisch Architecture For The Future Industrial Internet Of Things,2017.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Energy-Efficient Function Invocation Scheduling For Sustainable Edge Faas,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Managing Real-Time Mobile Applications In Reconfigurable Cloud-To-Things Systems,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Designing An Energy-Efficient Cloud-To-Things Continuum For Real-Time Mobile Applications,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Smartcomp 2025,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Smartcomp 2025,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Message From The Demo Chairs,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Research Paper Reviewers,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Sustainable Computing: Informatics And Systems,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
General Co-Chairs,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
Ssc 2019 Committees,0.0,0.0,0.0,,,N/A,N/A,,,,Scholar
