title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Predictive Modeling Of Multilink Delay In Avionic Networks: A Machine Learning Approach For Enhanced Communication Reliability,2025.0,0.0,0.0,2025 IEEE International Conference on Machine Learning for Communication and Networking Icmlcn 2025,10.1109/ICMLCN64995.2025.11140510,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
"Isospeed: Improving (Min,+) Convolution By Exploiting (Min,+)/(Max,+) Isomorphism",2023.0,0.0,3.0,Leibniz International Proceedings in Informatics Lipics,10.4230/LIPIcs.ECRTS.2023.12,N/A,N/A,"0,616",Conference Proceeding,cp,Scopus + Scholar
Federated Learning Of Explainable Artificial Intelligence Models: A Proof-Of-Concept For Video-Streaming Quality Forecasting In B5G/6G Networks,2023.0,0.0,1.0,Ceur Workshop Proceedings,,N/A,N/A,"0,166",Conference Proceeding,cp,Scopus + Scholar
Microstrip Patch Antenna For Single Resonant Frequency Using Various Types Of Slots,2023.0,0.0,0.0,International Conference on Electrical Computer Communications and Mechatronics Engineering Iceccme 2023,10.1109/ICECCME57830.2023.10252392,N/A,N/A,"0,378",Conference Proceeding,cp,Scopus + Scholar
Trustworthy Ai For Next Generation Networks: The Fed-Xai Innovative Paradigm From The Hexa-X Eu Flagship Project,2023.0,1.0,1.0,Ceur Workshop Proceedings,,N/A,N/A,"0,166",Conference Proceeding,cp,Scopus + Scholar
Using Network Simulators As Digital Twins Of 5G/B5G Mobile Networks,2022.0,10.0,11.0,Proceedings 2022 IEEE 23rd International Symposium on A World of Wireless Mobile and Multimedia Networks Wowmom 2022,10.1109/WoWMoM54355.2022.00091,B,N/A,,Conference Proceeding,cp,Scopus + Scholar
Towards Trustworthy Ai For Qoe Prediction In B5G/6G Networks,2022.0,5.0,14.0,Ceur Workshop Proceedings,,N/A,N/A,"0,166",Conference Proceeding,cp,Scopus + Scholar
The Road Towards Predictable Automotive High - Performance Platforms,2021.0,20.0,23.0,Proceedings Design Automation and Test in Europe Date,10.23919/DATE51398.2021.9473996,B,N/A,"0,480",Conference Proceeding,cp,Scopus + Scholar
Hexa-X: The European 6G Flagship Project,2021.0,72.0,97.0,2021 Joint European Conference on Networks and Communications and 6g Summit Eucnc 6g Summit 2021,10.1109/EuCNC/6GSummit51104.2021.9482430,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Using Simu5G As A Realtime Network Emulator To Test Mec Apps In An End-To-End 5G Testbed,2020.0,25.0,35.0,IEEE International Symposium on Personal Indoor and Mobile Radio Communications PIMRC,10.1109/PIMRC48278.2020.9217177,B,N/A,"0,111",Conference Proceeding,cp,Scopus + Scholar
A Co-Simulation Framework To Evaluate Edge Deployment Options And Performance,2020.0,2.0,2.0,2020 IEEE International Conference on Communications Workshops Icc Workshops 2020 Proceedings,10.1109/ICCWorkshops49005.2020.9145447,C,N/A,,Conference Proceeding,cp,Scopus + Scholar
Simu5G: A System-Level Simulator For 5G Networks,2020.0,53.0,76.0,Simultech 2020 Proceedings of the 10th International Conference on Simulation and Modeling Methodologies Technologies and Applications,,C,N/A,"0,142",Conference Proceeding,cp,Scopus + Scholar
Heterogeneous Systems Modelling With Adaptive Traffic Profiles And Its Application To Worst-Case Analysis Of A Dram Controller,2020.0,5.0,7.0,Proceedings 2020 IEEE 44th Annual Computers Software and Applications Conference Compsac 2020,10.1109/COMPSAC48688.2020.00020,N/A,N/A,"0,225",Conference Proceeding,cp,Scopus + Scholar
A Framework For Mec-Enabled Platooning,2019.0,20.0,23.0,2019 IEEE Wireless Communications and Networking Conference Workshop Wcncw 2019,10.1109/WCNCW.2019.8902910,B,N/A,"0,709",Conference Proceeding,cp,Scopus + Scholar
Minimizing Power Consumption In Virtualized Cellular Networks,2018.0,0.0,1.0,IEEE Vehicular Technology Conference,10.1109/VTCSpring.2018.8417830,B,N/A,"0,407",Conference Proceeding,cp,Scopus + Scholar
A Deep Reinforcement Learning Approach For Data Migration In Multi-Access Edge Computing,2018.0,31.0,39.0,10th ITU Academic Conference Kaleidoscope Machine Learning for A 5g Future ITU K 2018,10.23919/ITU-WT.2018.8597889,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Simulte-Mec: Extending Simulte For Multi-Access Edge Computing,2018.0,8.0,15.0,Epic Series in Computing,10.29007/7g1p,N/A,N/A,"0,196",Conference Proceeding,cp,Scopus + Scholar
Simulating Lisp-Based Multilink Communications In Aeronautical Networks,2018.0,2.0,4.0,Epic Series in Computing,10.29007/67tx,N/A,N/A,"0,196",Conference Proceeding,cp,Scopus + Scholar
Flexible Dynamic Coordinated Scheduling In Virtual-Ran Deployments,2017.0,8.0,11.0,2017 IEEE International Conference on Communications Workshops Icc Workshops 2017,10.1109/ICCW.2017.7962645,B,N/A,"0,638",Conference Proceeding,cp,Scopus + Scholar
A Flexible And Reconfigurable 5G Networking Architecture Based On Context And Content Information,2017.0,11.0,14.0,Eucnc 2017 European Conference on Networks and Communications,10.1109/EuCNC.2017.7980669,C,N/A,"0,709",Conference Proceeding,cp,Scopus + Scholar
Sapient-Simulator Modelling And Architecture,2017.0,3.0,4.0,Ka and Broadband Communications Conference,,C,N/A,"0,102",Conference Proceeding,cp,Scopus + Scholar
Sesar Exploratory Research Sapient Project Overview,2017.0,1.0,1.0,Ka and Broadband Communications Conference,,C,N/A,"0,102",Conference Proceeding,cp,Scopus + Scholar
A Testbed For Flexible And Energy-Efficient Resource Management With Virtualized Lte-A Nodes,2017.0,2.0,3.0,2017 5th International Workshop on Cloud Technologies and Energy Efficiency in Mobile Communication Networks Cleen 2017,10.23919/CLEEN.2017.8045910,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Scalability And Energy Efficiency Of Coordinated Scheduling In Cellular Networks Towards 5G,2017.0,4.0,5.0,2017 5th International Workshop on Cloud Technologies and Energy Efficiency in Mobile Communication Networks Cleen 2017,10.23919/CLEEN.2017.8045909,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Broadcasting In Lte-Advanced Networks Using Multihop D2D Communications,2016.0,8.0,13.0,IEEE International Symposium on Personal Indoor and Mobile Radio Communications PIMRC,10.1109/PIMRC.2016.7794788,B,N/A,"0,111",Conference Proceeding,cp,Scopus + Scholar
Fast And Agile Lossless Mode Switching For D2D Communications In Lte-Advanced Networks,2016.0,10.0,9.0,IEEE Vehicular Technology Conference,10.1109/VTCSpring.2016.7504246,B,N/A,"0,407",Conference Proceeding,cp,Scopus + Scholar
Performance Evaluation Of Tcp-Based Traffic Over Direct Communications In Lte-Advanced,2016.0,7.0,10.0,IEEE Vehicular Technology Conference,10.1109/VTCSpring.2016.7504415,B,N/A,"0,407",Conference Proceeding,cp,Scopus + Scholar
Modeling Unicast Device-To-Device Communications With Simulte,2016.0,23.0,43.0,2016 1st International Workshop on Link and System Level Simulations Iwsls 2016,10.1109/IWSLS.2016.7801579,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Modeling X2 Backhauling For Lte-Advanced And Assessing Its Effect On Comp Coordinated Scheduling,2016.0,9.0,14.0,2016 1st International Workshop on Link and System Level Simulations Iwsls 2016,10.1109/IWSLS.2016.7801582,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Performance Analysis Of Openairinterface System Emulation,2015.0,21.0,36.0,Proceedings 2015 International Conference on Future Internet of Things and Cloud Ficloud 2015 and 2015 International Conference on Open and Big Data Obd 2015,10.1109/FiCloud.2015.77,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Exploiting Lte D2D Communications In M2M Fog Platforms: Deployment And Practical Issues,2015.0,20.0,27.0,IEEE World Forum on Internet of Things Wf Iot 2015 Proceedings,10.1109/WF-IoT.2015.7389119,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
Improving Network Performance Via Optimization-Based Centralized Coordination Of Lte-A Cells,2014.0,3.0,5.0,2014 IEEE Wireless Communications and Networking Conference Workshops Wcncw 2014,10.1109/WCNCW.2014.6934854,B,N/A,"0,709",Conference Proceeding,cp,Scopus + Scholar
Simulte - A Modular System-Level Simulator For Lte/Lte-A Networks Based On Omnet+,2014.0,117.0,208.0,Simultech 2014 Proceedings of the 4th International Conference on Simulation and Modeling Methodologies Technologies and Applications,10.5220/0005040000590070,C,N/A,"0,142",Conference Proceeding,cp,Scopus + Scholar
Effective Dynamic Coordinated Scheduling In Lte-Advanced Networks,2014.0,3.0,4.0,Eucnc 2014 European Conference on Networks and Communications,10.1109/EuCNC.2014.6882642,C,N/A,"0,709",Conference Proceeding,cp,Scopus + Scholar
Power-Aware Allocation Of Mbsfn Subframes Using Discontinuous Cell Transmission In Lte Systems,2013.0,10.0,16.0,IEEE Vehicular Technology Conference,10.1109/VTCFall.2013.6692373,B,N/A,"0,407",Conference Proceeding,cp,Scopus + Scholar
Deficit Round Robin With Network Calculus,2012.0,29.0,48.0,Proceedings of the 2012 6th International Icst Conference on Performance Evaluation Methodologies and Tools Valuetools 2012,10.4108/icst.valuetools.2012.250202,N/A,N/A,,Conference Proceeding,cp,Scopus + Scholar
