title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,type,source_type,source
Estimating Bandwidth And Analyzing Worst-Case Delay Bounds Using Network Calculus,2025.0,0.0,0.0,IEEE Access,10.1109/ACCESS.2025.3573126,N/A,Q1,"0,849",Journal,ar,Scopus + Scholar
Enabling Simulation Services For Digital Twins Of 5G/B5G Mobile Networks,2024.0,10.0,14.0,Computer Communications,10.1016/j.comcom.2023.10.017,B,Q1,"1,114",Journal,ar,Scopus + Scholar
An Ensemble Learning Approach For Anomaly Detection In Credit Card Data With Imbalanced And Overlapped Classes,2023.0,32.0,51.0,Journal of Information Security and Applications,10.1016/j.jisa.2023.103618,N/A,Q1,"0,932",Journal,ar,Scopus + Scholar
Enabling Federated Learning Of Explainable Ai Models Within Beyond-5G/6G Networks,2023.0,27.0,39.0,Computer Communications,10.1016/j.comcom.2023.07.039,B,Q1,"1,114",Journal,ar,Scopus + Scholar
Computationally Efficient Worst-Case Analysis Of Flow-Controlled Networks With Network Calculus,2023.0,8.0,12.0,IEEE Transactions on Information Theory,10.1109/TIT.2023.3244276,N/A,Q1,"1,464",Journal,ar,Scopus + Scholar
Rapid Prototyping And Performance Evaluation Of Etsi Mec-Based Applications,2023.0,18.0,25.0,Simulation Modelling Practice and Theory,10.1016/j.simpat.2022.102700,A,Q1,"0,963",Journal,ar,Scopus + Scholar
Platooning-As-A-Service In A Multi-Operator Etsi Mec Environment,2023.0,6.0,7.0,IEEE Access,10.1109/ACCESS.2023.3286023,N/A,Q1,"0,849",Journal,ar,Scopus + Scholar
A Comprehensive Survey Exploring The Multifaceted Interplay Between Mobile Edge Computing And Vehicular Networks,2023.0,3.0,4.0,Future Internet,10.3390/fi15120391,N/A,Q2,"0,762",Journal,re,Scopus + Scholar
Extending The Network Calculus Algorithmic Toolbox For Ultimately Pseudo-Periodic Functions: Pseudo-Inverse And Composition,2023.0,1.0,6.0,Discrete Event Dynamic Systems Theory and Applications,10.1007/s10626-022-00373-5,N/A,Q2,"0,559",Journal,ar,Scopus + Scholar
Exploiting Simu5G For Generating Datasets For Training And Testing Ai Models For 5G/6G Network Applications,2023.0,12.0,13.0,Softwarex,10.1016/j.softx.2023.101320,N/A,Q3,"0,483",Journal,ar,Scopus + Scholar
Fog-Computing Based Healthcare Framework For Predicting Encephalitis Outbreak,2022.0,8.0,10.0,Big Data Research,10.1016/j.bdr.2022.100330,N/A,Q1,"0,914",Journal,ar,Scopus + Scholar
Federated Learning Of Explainable Ai Models In 6G Systems: Towards Secure And Automated Vehicle Networking,2022.0,67.0,87.0,Information Switzerland,10.3390/info13080395,N/A,Q1,"1,803",Journal,ar,Scopus + Scholar
