title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,sjr_score,sjr_score,sjr_score,type,source
Exploiting Etsi Mec To Increase The Safety Of Aeronautical Communications,2025.0,0,0.0,"IEEE Communications Standards Magazine, 2025",,N/A,Q1,IEEE Communications Standards Magazine,journal,"2,174",ieee communications standards magazine,,Scholar
"Improving (Min,+) Convolutions By Heuristic Operation Reordering",2024.0,0,0.0,"JRWRTC 2024, 1, 2024",,N/A,N/A,,,,,,Scholar
Methods And Apparatus For Issuing Memory Access Commands,2024.0,0,0.0,"US Patent 12,153,805, 2024",,N/A,N/A,,,,,,Scholar
Nancy. Expressions: Towards A Computer Algebra System For Deterministic Network Calculus,2024.0,0,1.0,"proceedings of VALUETOOLS 2024, 2024",,N/A,N/A,,,,,,Scholar
"Isospeed: Improving (Min,+) Convolution By Exploiting (Min,+)/(Max,+) Isomorphism (Artifact)",2023.0,0,1.0,"Dagstuhl Artifacts Series 9 (1), 3: 1-3: 4, 2023",,N/A,N/A,,,,,,Scholar
Bi-Dimensional Assignment In 5G Periodic Scheduling,2023.0,0,0.0,Airo Springer Series,10.1007/978-3-031-28863-0_14,N/A,N/A,,,,,Book Series,Scopus + Scholar
Edge Computing Technologies For Transport Layer Congestion Control And Point-Of-Presence Optimizations Based On Extended Inadvance Quality Of Service Notifications,2022.0,0,119.0,"US Patent App. 17/638,337, 2022",,N/A,N/A,,,,,,Scholar
Nancy: A Computational Library For Network Calculus,2022.0,0,0.0,,,N/A,N/A,,,,,,Scholar
Method And System For Data Tunneling In Device To Device Communication Assisted By A Telecommunication Network,2022.0,0,0.0,"US Patent 11,425,777, 2022",,N/A,N/A,,,,,,Scholar
"Method, System And Device For Electronic Interconnect Delay Bound Determination",2022.0,0,0.0,"US Patent 11,455,268, 2022",,N/A,N/A,,,,,,Scholar
A Lagrangian Approach To Chance Constrained Routing With Local Broadcast,2021.0,1,1.0,Airo Springer Series,10.1007/978-3-030-63072-0_22,N/A,N/A,,,,,Book Series,Scopus + Scholar
Simu5G,2021.0,0,3.0,,,N/A,N/A,,,,,,Scholar
