Title,Acronym,Source,Rank,,Primary For,
" Information Retrieval Facility Conference",IRFC,CORE2018,Unranked,Yes,0806,
" International Conference on Advanced Communications and Computation",INFOCOMP,CORE2023,Unranked,Yes,46,
" International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,Yes,4606,
1st International Conference on Building Energy and Environment,COBEE,ERA2010,,No,1202,
1st International Conference on Engineering Management,ICEM,ERA2010,,No,09,
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,ERA2010,B,No,0903,
3-D Digital Imaging and Modelling,3DIM,CORE2018,C,No,0801,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2018,C,No,0802,
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,Yes,4608,
AAEE - Annual Conference of Australasian Association for Engineering Education,,ERA2010,B,No,09,
Accelerating excellence in the built environment World Conference,WCAEBE,ERA2010,C,No,1202,
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,CORE2018,Australasian,Yes,0806,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2023,C,No,4612,
ACM Annual Computer Science Conference,CSC,CORE2018,C,No,08,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*,Yes,4606,
ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,Yes,4604,
ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,No,4608,
"ACM Conference on Digital Libraries ",JCDL,CORE2018,A*,No,0806,
ACM Conference on Economics and Computation,EC,CORE2023,A*,Yes,4602,
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,Yes,4606,
ACM Conference on Embedded Software,EMSOFT,CORE2023,Journal published,Yes,4606,
ACM Conference on Hypertext and Social Media,Hypertext,CORE2018,A,Yes,0805,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2023,A,Yes,4612,
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,Yes,4604,
ACM Creativity and Cognition,CC,ERA2010,A,No,1203,
ACM Digital Rights Management Workshop,DRM,CORE2018,C,No,0803,
ACM Information Technology Education,SIGITE,CORE2023,National: USA,No,4608,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,CORE2023,TBR,No,CSE,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,No,4607,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A,Yes,4601,4605
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A,No,4606,
ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A,Yes,4605,
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,CORE2023,Journal Published,Yes,4608,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,Yes,4605,
ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,Yes,4606,
ACM International Conference on Recommender Systems,RecSys,CORE2023,A,Yes,4605,
ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*,Yes,4605,
ACM International Conference on Supercomputing,ICS,CORE2023,A,Yes,CSE,
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,CORE2018,A,Yes,0805,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,CORE2023,A*,Yes,4612,
ACM International Conference on Web Search and Data Mining,WSDM,CORE2023,A,Yes,4605,
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,CORE2023,journal published,No,4608,
ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,Yes,CSE,4612
ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A,No,4606,
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2023,B,Yes,4606,
ACM International Workshop On Multimedia Databases,MMDB,CORE2018,C,No,0804,
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,ERA2010,B,No,1005,
ACM Multimedia,ACMMM,CORE2023,A*,Yes,4603,
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*,Yes,4607,4608
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,CORE2018,Australasian,No,0806,
