title,year,citations_scholar,venue,link,source
DP-COMET: A Differential Privacy Contextual Obfuscation MEchanism for Texts in Natural Language Processing,2025,,"Proceedings of the 34th ACM International Conference on Information and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Pqt4MY__2vwC,Scholar
A Cost-Effective Framework to Evaluate LLM-Generated Relevance Judgements,2025,,"Proceedings of the 34th ACM International Conference on Information and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:_n8fIOMweQoC,Scholar
Getting off the DIME: Dimension Pruning via Dimension Importance Estimation for Dense Information Retrieval,2025,,"ACM Transactions on Information Systems 44 (1), 1-34, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:fF_gHTpLxhAC,Scholar
Projection-Displacement-Based Query Performance Prediction for Embedded Space of Dense Retrievers,2025,,"ACM Transactions on Information Systems 44 (1), 1-30, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:gkldIfsazJcC,Scholar
MDCU: A Multi-Dimensional Cumulative Utility Metric for Information Retrieval.,2025,,"Italian Information Retrieval Wokshop (IIR 2025), 136-141, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:9CGX2owmTHMC,Scholar
Overview of quantumclef 2025: The second quantum computing challenge for information retrieval and recommender systems at CLEF,2025,6.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:EsrhoZGmrkoC,Scholar
Overview of BioASQ 2025: The thirteenth BioASQ challenge on large-scale biomedical semantic indexing and question answering,2025,40.0,"International Conference of the Cross-Language Evaluation Forum for European …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:1Aeql8wG3wEC,Scholar
Demographically-Inspired Query Variants Using an LLM,2025,,"Proceedings of the 2025 International ACM SIGIR Conference on Innovative …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:tFzHCjejgA0C,Scholar
A Robustness Assessment of Query Performance Prediction (QPP) Methods Based on Risk-Sensitive Analysis,2025,,"Proceedings of the 2025 International ACM SIGIR Conference on Innovative …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:6IBXqrN-DEwC,Scholar
CoSRec: A Joint Conversational Search and Recommendation Dataset,2025,2.0,"Proceedings of the 48th International ACM SIGIR Conference on Research and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:w0odbtu79TwC,Scholar
A Comparative Study of Large Language Models and Traditional Privacy Measures to Evaluate Query Obfuscation Approaches,2025,1.0,"Proceedings of the 48th International ACM SIGIR Conference on Research and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:e0LTWoPxLYMC,Scholar
Evaluating Multi-Dimensional Cumulated Utility in Information Retrieval,2025,1.0,"Proceedings of the 48th International ACM SIGIR Conference on Research and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:bbjcffOLshcC,Scholar
CoDIME: A Counterfactual Approach for Dimension Importance Estimation through Click Logs,2025,1.0,"Proceedings of the 48th International ACM SIGIR Conference on Research and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:SgM-ki2adj0C,Scholar
Kimera: From evaluation-as-a-service to evaluation-in-the-cloud,2025,4.0,"Proceedings of the 48th International ACM SIGIR Conference on Research and …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:ZqLB7dQ1iF4C,Scholar
Manifesto from Dagstuhl Perspectives Workshop 24352--Conversational Agents: A Framework for Evaluation (CAFE),2025,,"arXiv preprint arXiv:2506.11112, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:JdL-Xu2nR38C,Scholar
Overview of the NTCIR-18 FairWeb-2 Task,2025,21.0,"Proceedings of the 18th NTCIR Conference on Evaluation of Information Access …, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:5rMqqAh47xYC,Scholar
Report on the 2nd Workshop on Query Performance Prediction and its Applications in the Era of Large Language Models (QPP++ 2025) at ECIR 2025,2025,,"ACM SIGIR Forum 59 (1), 1-8, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MP_m6wgAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=MP_m6wgAAAAJ:Oo_WeVVXg5wC,Scholar
